Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C22, C23, C25, C26, C6, C9",0805,12,10u,
C14,0603,1,1u,
"C16, C17, C18, C19, C24, C3, C5, C8",0603,8,0.1u,
"C4, C7",CP_Radial_D6.3mm_P2.50mm,2,100u,
"D1, D12, D13, D2, D4, D5",0603,6,LED,
"D10, D11, D3, D6, D7, D8, D9",D_SOD-323_HandSoldering,7,D_Schottky,
D14,D_SMA,1,SMAJ13A,
IC1,SOIC-8_3.9x4.9mm_P1.27mm,1,AS5600-ASOT,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J2,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,1,Conn_01x03,
J3,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07,
J4,Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,1,Conn_01x02,
"Q1, Q2, Q3, Q4, Q5, Q6",SSM6K819R,6,Q_NMOS_DGS,
"R1, R26, R27, R28, R29, R3, R30, R31, R5, R8",0603,10,1k,
"R10, R11, R13, R15, R18, R2, R20, R22, R23, R25, R6, R7",0603,12,10k,
"R12, R14, R19, R21, R4, R9",0603,6,10,
"R16, R24",1206,2,10m,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D2.5mm,5,TestPoint,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,DRV8300DPWR,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U3,SOT-23,1,MCP9700x-ETT,
"U4, U6",SOT-23-6,2,INA181,
U7,SOT-23,1,AP7375-3.3,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTNE16M0V530000R0,
