Designator,Mid X,Mid Y,Rotation,Layer
C1,121.75,-101.5,180.0,top
C10,132.25,-102.0,270.0,top
C11,130.25,-102.0,270.0,top
C12,137.6,-132.8,0.0,top
C13,107.5,-103.0,270.0,top
C16,117.75,-131.0,270.0,top
C17,116.0,-138.0,90.0,top
C18,107.0,-127.5,270.0,top
C19,104.0,-115.0,270.0,top
C2,127.25,-101.5,180.0,top
C22,121.75,-119.0,180.0,top
C23,127.25,-119.0,180.0,top
C24,130.0,-129.5,0.0,top
C25,127.25,-131.0,270.0,top
C26,121.25,-131.0,270.0,top
C3,109.75,-139.0,0.0,top
C4,112.25,-103.68238,90.0,top
C5,132.25,-104.75,180.0,top
C6,121.75,-110.25,180.0,top
C7,107.25,-108.567621,270.0,top
C8,111.5,-126.0,180.0,top
C9,127.25,-110.25,180.0,top
D1,120.5,-138.25,90.0,top
D10,122.75,-125.5,180.0,top
D11,124.25,-128.0,180.0,top
D12,101.75,-108.0,180.0,top
D13,101.75,-132.0,180.0,top
D2,122.0,-138.25,90.0,top
D3,130.25,-107.75,270.0,top
D4,123.5,-138.25,90.0,top
D5,125.0,-138.25,90.0,top
D6,122.75,-108.0,180.0,top
D7,130.25,-116.5,270.0,top
D8,122.75,-116.75,180.0,top
D9,130.25,-123.75,270.0,top
IC1,120.0,-120.0,0.0,bottom
J1,133.5,-128.25,270.0,top
J2,133.25,-120.0,90.0,top
J3,101.5,-120.0,0.0,top
J4,133.25,-111.0,90.0,top
Q1,127.25,-104.75,270.0,top
Q2,121.75,-104.75,270.0,top
Q3,127.25,-113.5,270.0,top
Q4,121.75,-113.5,270.0,top
Q5,127.25,-122.25,270.0,top
Q6,121.75,-122.25,270.0,top
R1,120.5,-135.0,90.0,top
R10,119.0,-105.25,270.0,top
R11,134.0,-132.5,0.0,top
R12,124.5,-110.75,270.0,top
R13,124.5,-114.0,270.0,top
R14,119.0,-110.75,270.0,top
R15,119.0,-114.0,270.0,top
R16,115.75,-115.0,180.0,top
R18,130.0,-133.0,180.0,top
R19,124.5,-119.5,270.0,top
R2,107.0,-138.0,270.0,top
R20,124.5,-122.75,270.0,top
R21,119.0,-119.5,270.0,top
R22,119.0,-122.75,270.0,top
R23,130.0,-127.75,180.0,top
R24,115.75,-123.75,180.0,top
R25,101.75,-109.75,0.0,top
R26,101.75,-130.25,0.0,top
R27,130.0,-131.25,0.0,top
R28,112.5,-111.5,90.0,top
R29,112.5,-114.75,270.0,top
R3,122.0,-135.0,90.0,top
R30,112.5,-120.25,90.0,top
R31,112.5,-123.5,270.0,top
R4,124.5,-102.0,270.0,top
R5,123.5,-135.0,90.0,top
R6,113.25,-139.0,0.0,top
R7,124.5,-105.25,270.0,top
R8,125.0,-135.0,90.0,top
R9,119.0,-102.0,270.0,top
SW1,128.0,-137.0,270.0,top
SW2,132.0,-137.0,90.0,top
U1,107.75,-121.0,0.0,top
U2,111.5,-132.75,90.0,top
U3,117.5,-127.25,180.0,top
U4,115.75,-112.0,0.0,top
U6,115.75,-120.75,0.0,top
U7,124.25,-131.25,90.0,top
Y1,118.25,-134.5,90.0,top
